                   Degree              dlvdt[mm/s]            dlvdtt[mm/s2]
                  95.9400             6.352317E+02            -1.860745E+04
                  96.1200             6.348331E+02            -1.888560E+04
                  96.3000             6.344286E+02            -1.916333E+04
                  96.4800             6.340182E+02            -1.944064E+04
                  96.6600             6.336019E+02            -1.971753E+04
                  96.8400             6.331798E+02            -1.999400E+04
                  97.0200             6.327517E+02            -2.027004E+04
                  97.2000             6.323178E+02            -2.054565E+04
                  97.3800             6.318781E+02            -2.082084E+04
                  97.5600             6.314325E+02            -2.109560E+04
                  97.7400             6.309810E+02            -2.136993E+04
                  97.9200             6.305237E+02            -2.164383E+04
                  98.1000             6.300607E+02            -2.191729E+04
                  98.2800             6.295918E+02            -2.219031E+04
                  98.4600             6.291171E+02            -2.246290E+04
                  98.6400             6.286366E+02            -2.273504E+04
                  98.8200             6.281503E+02            -2.300675E+04
                  99.0000             6.276583E+02            -2.327801E+04
                  99.1800             6.271604E+02            -2.354883E+04
                  99.3600             6.266569E+02            -2.381920E+04
                  99.5400             6.261476E+02            -2.408913E+04
                  99.7200             6.256326E+02            -2.435861E+04
                  99.9000             6.251118E+02            -2.462763E+04
                 100.0800             6.245853E+02            -2.489620E+04
                 100.2600             6.240531E+02            -2.516432E+04
                 100.4400             6.235153E+02            -2.543199E+04
                 100.6200             6.229717E+02            -2.569919E+04
                 100.8000             6.224224E+02            -2.596594E+04
                 100.9800             6.218675E+02            -2.623223E+04
                 101.1600             6.213070E+02            -2.649806E+04
                 101.3400             6.207408E+02            -2.676342E+04
                 101.5200             6.201689E+02            -2.702832E+04
                 101.7000             6.195914E+02            -2.729275E+04
                 101.8800             6.190084E+02            -2.755672E+04
                 102.0600             6.184197E+02            -2.782022E+04
                 102.2400             6.178254E+02            -2.808324E+04
                 102.4200             6.172255E+02            -2.834580E+04
                 102.6000             6.166200E+02            -2.860788E+04
                 102.7800             6.160090E+02            -2.886949E+04
                 102.9600             6.153924E+02            -2.913062E+04
                 103.1400             6.147703E+02            -2.939127E+04
                 103.3200             6.141426E+02            -2.965145E+04
                 103.5000             6.135094E+02            -2.991114E+04
                 103.6800             6.128707E+02            -3.017036E+04
                 103.8600             6.122265E+02            -3.042909E+04
                 104.0400             6.115767E+02            -3.068733E+04
                 104.2200             6.109215E+02            -3.094509E+04
                 104.4000             6.102609E+02            -3.120237E+04
                 104.5800             6.095947E+02            -3.145915E+04
                 104.7600             6.089231E+02            -3.171545E+04
                 104.9400             6.082461E+02            -3.197125E+04
                 105.1200             6.075636E+02            -3.222656E+04
                 105.3000             6.068757E+02            -3.248138E+04
                 105.4800             6.061824E+02            -3.273571E+04
                 105.6600             6.054837E+02            -3.298953E+04
                 105.8400             6.047796E+02            -3.324287E+04
                 106.0200             6.040701E+02            -3.349570E+04
                 106.2000             6.033553E+02            -3.374803E+04
                 106.3800             6.026351E+02            -3.399986E+04
                 106.5600             6.019095E+02            -3.425119E+04
                 106.7400             6.011786E+02            -3.450201E+04
