                   Degree              Press.Ratio   Mass_leak_rad_ro[kg/s]      Mass_leak_vef[kg/s]       Mass_leak_vs[kg/s]      Mass_leak_ref[kg/s]    Mass_leak_total[kg/s]
                  29.8800             1.012355E+00             4.735305E-08             9.332541E-06             0.000000E+00            -1.504708E-06             7.875186E-06
                  30.0600             1.012057E+00             4.729999E-08             9.333346E-06             0.000000E+00            -1.529555E-06             7.851091E-06
                  30.2400             1.011767E+00             4.724826E-08             9.334395E-06             0.000000E+00            -1.554172E-06             7.827472E-06
                  30.4200             1.011484E+00             4.677194E-08             9.335685E-06             0.000000E+00            -1.578559E-06             7.803898E-06
                  30.6000             1.011209E+00             4.672189E-08             9.337213E-06             0.000000E+00            -1.602719E-06             7.781216E-06
                  30.7800             1.010941E+00             4.667309E-08             9.338976E-06             0.000000E+00            -1.626652E-06             7.758997E-06
                  30.9600             1.010680E+00             4.662554E-08             9.340973E-06             0.000000E+00            -1.650361E-06             7.737237E-06
                  31.1400             1.010427E+00             4.657919E-08             9.343199E-06             0.000000E+00            -1.673847E-06             7.715931E-06
                  31.3200             1.010179E+00             4.653403E-08             9.348685E-06             0.000000E+00            -1.697113E-06             7.698106E-06
                  31.5000             1.009939E+00             4.649002E-08             9.351368E-06             0.000000E+00            -1.720161E-06             7.677697E-06
                  31.6800             1.009705E+00             4.644715E-08             9.354271E-06             0.000000E+00            -1.742992E-06             7.657727E-06
                  31.8600             1.009477E+00             4.640539E-08             9.360439E-06             0.000000E+00            -1.765609E-06             7.641236E-06
                  32.0400             1.009255E+00             4.636470E-08             9.363781E-06             0.000000E+00            -1.788015E-06             7.622130E-06
                  32.2200             1.009040E+00             4.590191E-08             9.370391E-06             0.000000E+00            -1.810212E-06             7.606080E-06
                  32.4000             1.008830E+00             4.586264E-08             9.377220E-06             0.000000E+00            -1.832203E-06             7.590880E-06
                  32.5800             1.008626E+00             4.582442E-08             9.381197E-06             0.000000E+00            -1.853990E-06             7.573031E-06
                  32.7600             1.008427E+00             4.578717E-08             9.388449E-06             0.000000E+00            -1.875576E-06             7.558660E-06
                  32.9400             1.008234E+00             4.575092E-08             9.395911E-06             0.000000E+00            -1.896964E-06             7.544698E-06
                  33.1200             1.008046E+00             4.571562E-08             9.403579E-06             0.000000E+00            -1.918157E-06             7.531138E-06
                  33.3000             1.007863E+00             4.568124E-08             9.411451E-06             0.000000E+00            -1.939157E-06             7.517976E-06
                  33.4800             1.007685E+00             4.564777E-08             9.416430E-06             0.000000E+00            -1.959967E-06             7.502110E-06
