                   Degree           I_press_scv[W]           I_press_dcv[W]          I_tempmx_scv[W]          I_tempmx_dcv[W]             I_thr_scv[W]             I_thr_dcv[W]            I_thr_leak[W]              I_ht_scv[W]              I_ht_dcv[W]               I_ef_vh[W]                I_s_vh[W]                I_f_vs[W]               I_ef_ro[W]                 I_lub[W]              I_bear_s[W]            I_lip_seal[W]
                  14.4000             8.777681E+01             4.448514E+00             4.278774E-02             3.842053E-01             8.781960E+01             4.832719E+00             2.140758E-01             1.559685E-01             1.259609E-01             3.853971E-02             5.071564E-01             7.053907E-01             1.186404E+01             1.057523E+01             8.147166E+00             3.073242E+01
                  14.5800             8.641616E+01             4.538396E+00             4.227061E-02             3.919657E-01             8.645843E+01             4.930362E+00             2.121509E-01             1.578869E-01             1.259744E-01             3.845581E-02             5.081792E-01             7.229997E-01             1.185631E+01             1.061025E+01             8.147135E+00             3.073242E+01
                  14.7600             8.503049E+01             4.629451E+00             4.174037E-02             3.998272E-01             8.507223E+01             5.029278E+00             2.101633E-01             1.598151E-01             1.259881E-01             3.837102E-02             5.092093E-01             7.407142E-01             1.184850E+01             1.064551E+01             8.147119E+00             3.073242E+01
                  14.9400             8.362165E+01             4.721588E+00             4.119812E-02             4.077820E-01             8.366285E+01             5.129370E+00             2.081071E-01             1.617530E-01             1.260019E-01             3.828534E-02             5.102464E-01             7.585339E-01             1.184062E+01             1.068102E+01             8.147118E+00             3.073242E+01
                  15.1200             8.219151E+01             4.814853E+00             4.064489E-02             4.158341E-01             8.223216E+01             5.230687E+00             2.060006E-01             1.637007E-01             1.260158E-01             3.819878E-02             5.112897E-01             7.764585E-01             1.183266E+01             1.071676E+01             8.147132E+00             3.073242E+01
                  15.3000             8.074204E+01             4.909125E+00             4.008190E-02             4.239732E-01             8.078212E+01             5.333099E+00             2.038384E-01             1.656581E-01             1.260299E-01             3.811133E-02             5.123387E-01             7.944875E-01             1.182462E+01             1.075272E+01             8.147161E+00             3.073242E+01
                  15.4800             7.927517E+01             5.004465E+00             3.951035E-02             4.322043E-01             7.931468E+01             5.436669E+00             2.015744E-01             1.676252E-01             1.260441E-01             3.802302E-02             5.133929E-01             8.126202E-01             1.181651E+01             1.078889E+01             8.147205E+00             3.073242E+01
                  15.6600             7.779289E+01             5.100879E+00             3.893131E-02             4.405281E-01             7.783182E+01             5.541407E+00             1.992610E-01             1.696018E-01             1.260584E-01             3.793383E-02             5.144517E-01             8.308556E-01             1.180832E+01             1.082526E+01             8.147265E+00             3.073242E+01
                  15.8400             7.629720E+01             5.198400E+00             3.834578E-02             4.489473E-01             7.633554E+01             5.647347E+00             1.969413E-01             1.715880E-01             1.260729E-01             3.784379E-02             5.155143E-01             8.491925E-01             1.180006E+01             1.086182E+01             8.147339E+00             3.073242E+01
                  16.0200             7.479013E+01             5.296917E+00             3.775511E-02             4.574526E-01             7.482789E+01             5.754370E+00             1.945375E-01             1.735835E-01             1.260875E-01             3.775288E-02             5.165803E-01             8.676295E-01             1.179172E+01             1.089855E+01             8.147429E+00             3.073242E+01
                  16.2000             7.327371E+01             5.396464E+00             3.716037E-02             4.660465E-01             7.331087E+01             5.862510E+00             1.920470E-01             1.755882E-01             1.261023E-01             3.766113E-02             5.176489E-01             8.861651E-01             1.178332E+01             1.093545E+01             8.147535E+00             3.073242E+01
