                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                  27.1800            -6.272048E+01            -5.641021E+01            -5.214694E+01             5.417512E+00             5.907281E+01             2.413727E+01             6.381383E+01
                  27.3600            -6.308133E+01            -5.647678E+01            -5.247929E+01             5.399354E+00             5.939429E+01             2.417963E+01             6.412751E+01
                  27.5400            -6.344099E+01            -5.654303E+01            -5.281082E+01             5.381031E+00             5.971479E+01             2.422144E+01             6.444016E+01
                  27.7200            -6.379946E+01            -5.660897E+01            -5.314151E+01             5.362542E+00             6.003430E+01             2.426269E+01             6.475179E+01
                  27.9000            -6.415675E+01            -5.667459E+01            -5.347138E+01             5.343886E+00             6.035281E+01             2.430338E+01             6.506240E+01
                  28.0800            -6.451284E+01            -5.673989E+01            -5.380041E+01             5.325060E+00             6.067031E+01             2.434352E+01             6.537197E+01
                  28.2600            -6.486773E+01            -5.680490E+01            -5.412861E+01             5.306062E+00             6.098682E+01             2.438311E+01             6.568050E+01
                  28.4400            -6.522143E+01            -5.686959E+01            -5.445597E+01             5.286890E+00             6.130231E+01             2.442216E+01             6.598799E+01
                  28.6200            -6.557392E+01            -5.693399E+01            -5.478248E+01             5.267543E+00             6.161680E+01             2.446065E+01             6.629444E+01
                  28.8000            -6.592521E+01            -5.699809E+01            -5.510816E+01             5.248018E+00             6.193027E+01             2.449860E+01             6.659985E+01
                  28.9800            -6.627529E+01            -5.706190E+01            -5.543298E+01             5.228313E+00             6.224272E+01             2.453602E+01             6.690420E+01
                  29.1600            -6.662416E+01            -5.712542E+01            -5.575696E+01             5.208426E+00             6.255415E+01             2.457289E+01             6.720750E+01
                  29.3400            -6.697182E+01            -5.718865E+01            -5.608009E+01             5.188355E+00             6.286456E+01             2.460923E+01             6.750975E+01
                  29.5200            -6.731826E+01            -5.725160E+01            -5.640237E+01             5.168098E+00             6.317393E+01             2.464505E+01             6.781094E+01
                  29.7000            -6.766348E+01            -5.731427E+01            -5.672378E+01             5.147652E+00             6.348228E+01             2.468034E+01             6.811107E+01
                  29.8800            -6.800748E+01            -5.737666E+01            -5.704435E+01             5.127017E+00             6.378959E+01             2.471511E+01             6.841014E+01
                  30.0600            -6.835026E+01            -5.743878E+01            -5.736405E+01             5.106188E+00             6.409585E+01             2.474936E+01             6.870815E+01
                  30.2400            -6.869181E+01            -5.750064E+01            -5.768289E+01             5.085166E+00             6.440108E+01             2.478311E+01             6.900508E+01
                  30.4200            -6.903213E+01            -5.756223E+01            -5.800086E+01             5.063946E+00             6.470526E+01             2.481635E+01             6.930095E+01
                  30.6000            -6.937122E+01            -5.762357E+01            -5.831797E+01             5.042528E+00             6.500838E+01             2.484910E+01             6.959574E+01
                  30.7800            -6.970908E+01            -5.768464E+01            -5.863421E+01             5.020909E+00             6.531045E+01             2.488136E+01             6.988946E+01
                  30.9600            -7.004571E+01            -5.774547E+01            -5.894958E+01             4.999087E+00             6.561146E+01             2.491313E+01             7.018211E+01
                  31.1400            -7.038109E+01            -5.780604E+01            -5.926408E+01             4.977061E+00             6.591141E+01             2.494442E+01             7.047367E+01
                  31.3200            -7.071524E+01            -5.786637E+01            -5.957770E+01             4.954828E+00             6.621029E+01             2.497523E+01             7.076415E+01
                  31.5000            -7.104815E+01            -5.792646E+01            -5.989044E+01             4.932386E+00             6.650810E+01             2.500558E+01             7.105355E+01
                  31.6800            -7.137981E+01            -5.798631E+01            -6.020231E+01             4.909733E+00             6.680484E+01             2.503547E+01             7.134187E+01
                  31.8600            -7.171023E+01            -5.804593E+01            -6.051330E+01             4.886868E+00             6.710050E+01             2.506491E+01             7.162909E+01
                  32.0400            -7.203940E+01            -5.810531E+01            -6.082340E+01             4.863788E+00             6.739508E+01             2.509390E+01             7.191523E+01
                  32.2200            -7.236732E+01            -5.816447E+01            -6.113262E+01             4.840493E+00             6.768857E+01             2.512244E+01             7.220027E+01
                  32.4000            -7.269399E+01            -5.822340E+01            -6.144095E+01             4.816978E+00             6.798097E+01             2.515056E+01             7.248423E+01
                  32.5800            -7.301941E+01            -5.828211E+01            -6.174839E+01             4.793245E+00             6.827228E+01             2.517824E+01             7.276708E+01
                  32.7600            -7.334357E+01            -5.834060E+01            -6.205494E+01             4.769289E+00             6.856249E+01             2.520551E+01             7.304884E+01
                  32.9400            -7.366648E+01            -5.839888E+01            -6.236060E+01             4.745110E+00             6.885160E+01             2.523236E+01             7.332950E+01
                  33.1200            -7.398812E+01            -5.845694E+01            -6.266536E+01             4.720706E+00             6.913961E+01             2.525881E+01             7.360906E+01
                  33.3000            -7.430851E+01            -5.851480E+01            -6.296923E+01             4.696075E+00             6.942651E+01             2.528485E+01             7.388751E+01
                  33.4800            -7.462763E+01            -5.857245E+01            -6.327220E+01             4.671216E+00             6.971229E+01             2.531050E+01             7.416485E+01
                  33.6600            -7.494548E+01            -5.862989E+01            -6.357426E+01             4.646127E+00             6.999697E+01             2.533577E+01             7.444109E+01
                  33.8400            -7.526207E+01            -5.868714E+01            -6.387543E+01             4.620807E+00             7.028052E+01             2.536065E+01             7.471622E+01
                  34.0200            -7.557740E+01            -5.874419E+01            -6.417569E+01             4.595254E+00             7.056295E+01             2.538517E+01             7.499024E+01
                  34.2000            -7.589145E+01            -5.880104E+01            -6.447505E+01             4.569467E+00             7.084425E+01             2.540931E+01             7.526314E+01
                  34.3800            -7.620422E+01            -5.885770E+01            -6.477350E+01             4.543443E+00             7.112442E+01             2.543310E+01             7.553493E+01
                  34.5600            -7.651573E+01            -5.891417E+01            -6.507104E+01             4.517183E+00             7.140346E+01             2.545654E+01             7.580560E+01
                  34.7400            -7.682596E+01            -5.897045E+01            -6.536766E+01             4.490685E+00             7.168136E+01             2.547962E+01             7.607515E+01
                  34.9200            -7.713491E+01            -5.902655E+01            -6.566338E+01             4.463946E+00             7.195812E+01             2.550237E+01             7.634358E+01
                  35.1000            -7.744258E+01            -5.908247E+01            -6.595817E+01             4.436967E+00             7.223374E+01             2.552479E+01             7.661088E+01
                  35.2800            -7.774897E+01            -5.913821E+01            -6.625206E+01             4.409745E+00             7.250821E+01             2.554687E+01             7.687706E+01
                  35.4600            -7.805407E+01            -5.919376E+01            -6.654502E+01             4.382280E+00             7.278152E+01             2.556864E+01             7.714211E+01
                  35.6400            -7.835789E+01            -5.924915E+01            -6.683706E+01             4.354571E+00             7.305369E+01             2.559009E+01             7.740603E+01
                  35.8200            -7.866043E+01            -5.930436E+01            -6.712818E+01             4.326616E+00             7.332469E+01             2.561124E+01             7.766882E+01
                  36.0000            -7.896167E+01            -5.935939E+01            -6.741837E+01             4.298414E+00             7.359454E+01             2.563208E+01             7.793048E+01
                  36.1800            -7.926163E+01            -5.941426E+01            -6.770764E+01             4.269964E+00             7.386322E+01             2.565263E+01             7.819100E+01
                  36.3600            -7.956029E+01            -5.946896E+01            -6.799598E+01             4.241266E+00             7.413074E+01             2.567289E+01             7.845039E+01
                  36.5400            -7.985766E+01            -5.952349E+01            -6.828339E+01             4.212318E+00             7.439708E+01             2.569286E+01             7.870863E+01
                  36.7200            -8.015373E+01            -5.957786E+01            -6.856987E+01             4.183120E+00             7.466225E+01             2.571256E+01             7.896574E+01
