                   Degree                T_ecc[Nm]         T_inertia_ro[Nm]         T_inertia_vh[Nm]              T_com_C[Nm]      T_total_no_loss[Nm]               T_loss[Nm]             T_bear_s[Nm]         T_inst_total[Nm]
                  21.4200             1.353996E-01            -1.838902E-01            -5.456759E-04             3.636915E-02            -1.480667E-01             6.190693E-01             7.753414E-02             4.710026E-01
                  21.6000             1.359183E-01            -1.849963E-01            -5.488349E-04             3.666109E-02            -1.488841E-01             6.197610E-01             7.752221E-02             4.708769E-01
                  21.7800             1.364365E-01            -1.860923E-01            -5.519613E-04             3.695295E-02            -1.496913E-01             6.204418E-01             7.750083E-02             4.707504E-01
                  21.9600             1.369542E-01            -1.871781E-01            -5.550551E-04             3.724473E-02            -1.504885E-01             6.211123E-01             7.747053E-02             4.706239E-01
                  22.1400             1.374714E-01            -1.882537E-01            -5.581161E-04             3.753639E-02            -1.512754E-01             6.217734E-01             7.743200E-02             4.704979E-01
                  22.3200             1.379881E-01            -1.893190E-01            -5.611442E-04             3.782794E-02            -1.520522E-01             6.224257E-01             7.738612E-02             4.703735E-01
                  22.5000             1.385043E-01            -1.903739E-01            -5.641392E-04             3.811936E-02            -1.528187E-01             6.230704E-01             7.733386E-02             4.702517E-01
                  22.6800             1.390200E-01            -1.914185E-01            -5.671010E-04             3.841064E-02            -1.535749E-01             6.237085E-01             7.727631E-02             4.701336E-01
                  22.8600             1.395351E-01            -1.924526E-01            -5.700295E-04             3.870176E-02            -1.543208E-01             6.243412E-01             7.721462E-02             4.700204E-01
                  23.0400             1.400497E-01            -1.934762E-01            -5.729246E-04             3.899271E-02            -1.550564E-01             6.249697E-01             7.714997E-02             4.699133E-01
                  23.2200             1.405637E-01            -1.944893E-01            -5.757860E-04             3.928347E-02            -1.557816E-01             6.255952E-01             7.708353E-02             4.698136E-01
                  23.4000             1.410772E-01            -1.954918E-01            -5.786138E-04             3.957404E-02            -1.564963E-01             6.262188E-01             7.701648E-02             4.697224E-01
                  23.5800             1.415900E-01            -1.964837E-01            -5.814078E-04             3.986439E-02            -1.572007E-01             6.268417E-01             7.694992E-02             4.696410E-01
                  23.7600             1.421023E-01            -1.974649E-01            -5.841679E-04             4.015452E-02            -1.578946E-01             6.274648E-01             7.688489E-02             4.695703E-01
                  23.9400             1.426139E-01            -1.984355E-01            -5.868939E-04             4.044441E-02            -1.585779E-01             6.280893E-01             7.682237E-02             4.695114E-01
                  24.1200             1.431249E-01            -1.993953E-01            -5.895858E-04             4.073404E-02            -1.592508E-01             6.287159E-01             7.676321E-02             4.694651E-01
                  24.3000             1.436352E-01            -2.003443E-01            -5.922434E-04             4.102340E-02            -1.599131E-01             6.293455E-01             7.670817E-02             4.694323E-01
                  24.4800             1.441448E-01            -2.012825E-01            -5.948666E-04             4.131247E-02            -1.605649E-01             6.299785E-01             7.665788E-02             4.694137E-01
                  24.6600             1.446538E-01            -2.022098E-01            -5.974554E-04             4.160125E-02            -1.612060E-01             6.306157E-01             7.661287E-02             4.694097E-01
                  24.8400             1.451620E-01            -2.031262E-01            -6.000097E-04             4.188971E-02            -1.618365E-01             6.312573E-01             7.657353E-02             4.694208E-01
                  25.0200             1.456696E-01            -2.040317E-01            -6.025293E-04             4.217785E-02            -1.624564E-01             6.319037E-01             7.654016E-02             4.694473E-01
                  25.2000             1.461763E-01            -2.049263E-01            -6.050142E-04             4.246564E-02            -1.630656E-01             6.325550E-01             7.651294E-02             4.694894E-01
