                   Degree              Press.Ratio   Mass_leak_rad_ro[kg/s]      Mass_leak_vef[kg/s]       Mass_leak_vs[kg/s]      Mass_leak_ref[kg/s]    Mass_leak_total[kg/s]
                  37.0800             9.982689E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  37.2600             9.983491E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  37.4400             9.984272E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  37.6200             9.985033E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  37.8000             9.985774E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  37.9800             9.986495E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  38.1600             9.987198E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  38.3400             9.987882E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  38.5200             9.988549E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  38.7000             9.989198E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  38.8800             9.989830E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  39.0600             9.990446E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  39.2400             9.991046E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  39.4200             9.991630E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  39.6000             9.992199E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  39.7800             9.992754E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  39.9600             9.993294E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  40.1400             9.993821E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  40.3200             9.994334E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  40.5000             9.994833E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  40.6800             9.995320E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  40.8600             9.995794E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  41.0400             9.996256E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  41.2200             9.996707E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  41.4000             9.997145E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  41.5800             9.997573E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  41.7600             9.997989E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  41.9400             9.998395E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  42.1200             9.998790E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  42.3000             9.999175E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  42.4800             9.999550E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  42.6600             9.999915E-01             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  42.8400             1.000027E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  43.0200             1.000062E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  43.2000             1.000095E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  43.3800             1.000128E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  43.5600             1.000160E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
                  43.7400             1.000191E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00             0.000000E+00
